,brand,model_name,bodyType,color,engineDisplacement,enginePower,fuelType,mileage,productionDate,vehicleTransmission,owners,pts,wd,wheel,state,tax,customs,price
22,Volkswagen,Volkswagen Passat CC I Рестайлинг,седан,белый,1.8,152,Бензин,126000,2012,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,6840,Растаможен,995000₽
23,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серебристый,1.4,100,бензин,,,Механическая,,,Передний,,,1200,,от 978764₽
24,Toyota,Toyota C-HR I,внедорожник 5 дв.,чёрный,1.8,98,Гибрид,51000,2017,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,1176,Растаможен,2045000₽
25,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1369900₽
26,Mercedes-Benz,"Mercedes-Benz E-Класс 350 IV (W212, S212, C207)",седан,белый,3.5,272,Бензин,122279,2010,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,40800,Растаможен,1195000₽
27,Audi,Audi A4 IV (B8) Рестайлинг,седан,серый,1.8,170,Бензин,80000,2015,вариатор,2 владельца,Оригинал,передний,Левый,Не требует ремонта,7650,Растаможен,1195000₽
28,Mercedes-Benz,"Mercedes-Benz E-Класс 200 V (W213, S213, C238) Рестайлинг",купе,белый,2.0,197,Бензин,28086,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9653,Растаможен,5227000₽
29,BMW,BMW 5 серии 528i VI (F10/F11/F07),седан,бежевый,3.0,258,Бензин,120000,2011,автоматическая,1 владелец,Оригинал,задний,Левый,Не требует ремонта,38700,Растаможен,1295000₽
30,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1660789₽
31,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Бежевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1375900₽
32,Jaguar,Jaguar F-Type I Рестайлинг,купе,чёрный,2.0,300,Бензин,62248,2017,автоматическая,1 владелец,Оригинал,задний,Левый,Не требует ремонта,45000,Растаможен,3535000₽
33,Toyota,Toyota Land Cruiser 100 Series,внедорожник 5 дв.,пурпурный,4.7,235,Бензин,234634,2000,полный,Дубликат,6 лет и 8 месяцев,Левый,Не требует ремонта,3 или более,автоматическая,Растаможен,979999₽
34,Toyota,Toyota RAV4 III (XA30) Рестайлинг,внедорожник 5 дв.,серебристый,2.0,148,Бензин,45215,2012,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5180,Растаможен,1305000₽
35,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1465900₽
36,Toyota,Toyota Camry VII (XV50) Рестайлинг,седан,чёрный,2.5,181,Бензин,127000,2016,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,9050,Растаможен,1529000₽
37,Mercedes-Benz,"Mercedes-Benz E-Класс 200 IV (W212, S212, C207) Рестайлинг",купе-хардтоп,золотистый,2.0,184,Бензин,65000,2014,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,9200,Растаможен,1682000₽
38,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1229900₽
39,Toyota,Toyota Camry VII (XV50) Рестайлинг,седан,чёрный,2.5,181,Бензин,112000,2014,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,9050,Растаможен,1259000₽
40,Suzuki,Suzuki Vitara II,внедорожник 5 дв.,голубой,1.6,117,Бензин,83000,2017,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,2925,Растаможен,1295000₽
41,BMW,BMW 3 серии 320i xDrive VII (G2x),седан,серый,2.0,184,Бензин,38653,2019,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9016,Растаможен,3219000₽
42,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 895900₽
43,,,,,,395,,,,,,,,,,,,
44,Jaguar,Jaguar XF II,седан,чёрный,2.0,180,Дизель,80785,2016,автоматическая,3 или более,Оригинал,задний,Левый,Не требует ремонта,9000,Растаможен,2162000₽
45,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1319900₽
46,BMW,BMW 3 серии 325i V (E90/E91/E92/E93) Рестайлинг,седан,чёрный,2.5,218,Бензин,205514,2009,автоматическая,3 или более,Оригинал,задний,Левый,Не требует ремонта,14170,Растаможен,857000₽
47,Ford,Ford Galaxy III,минивэн,серый,2.0,150,Дизель,118000,2016,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,1999999₽
48,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1229900₽
49,BMW,BMW 5 серии 530i xDrive VII (G30/G31) Рестайлинг,седан,серый,2.0,249,Бензин,2066,2021,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,5251000₽
50,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1487206₽
51,MINI,MINI Hatch JCW John Cooper Works GP III (F55/F56) Рестайлинг,хэтчбек 3 дв.,серый,2.0,306,Бензин,1301,2020,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,45900,Растаможен,4119000₽
52,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 880900₽
53,Toyota,Toyota Camry VII (XV50) Рестайлинг,седан,серый,2.0,150,Бензин,38363,2017,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,1689000₽
54,Mercedes-Benz,Mercedes-Benz GLE Coupe 350 d I (C292),внедорожник 5 дв.,чёрный,3.0,249,Дизель,89000,2017,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18675,4 года и 7 месяцев,4799000₽
55,Mercedes-Benz,Mercedes-Benz G-Класс 350 d II (W463) Рестайлинг 4,внедорожник 5 дв.,синий,3.0,245,Дизель,36300,2017,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,18375,6 месяцев,
56,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1530000₽
57,Audi,Audi A6 IV (C7),седан,чёрный,3.0,300,Бензин,112000,2011,роботизированная,2 владельца,Оригинал,полный,Левый,Не требует ремонта,45000,Растаможен,1195000₽
58,Jaguar,Jaguar F-Pace I,внедорожник 5 дв.,чёрный,2.0,240,Дизель,67295,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18000,Растаможен,3553000₽
59,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1465900₽
60,Toyota,Toyota Land Cruiser 200 Series,внедорожник 5 дв.,чёрный,4.5,235,Дизель,411000,2010,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,17625,Растаможен,2251000₽
61,Volkswagen,Volkswagen Polo VI,лифтбек,чёрный,1.6,110,Бензин,17155,2020,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,1325000₽
62,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 880900₽
63,BMW,"BMW 4 серии 420d xDrive G22, G23",купе,белый,2.0,190,Дизель,27000,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9500,Растаможен,4510000₽
64,Lexus,Lexus RX 300 IV,внедорожник 5 дв.,серый,2.0,238,Бензин,29508,2019,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,17850,Растаможен,3878000₽
65,Nissan,Nissan Teana II Рестайлинг,седан,белый,2.5,167,Бензин,131000,2012,вариатор,2 владельца,Оригинал,полный,Левый,Не требует ремонта,7515,Растаможен,785000₽
66,BMW,BMW X5 30d IV (G05),внедорожник 5 дв.,чёрный,3.0,249,Дизель,28811,2019,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,6756000₽
67,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1459900₽
68,Toyota,Toyota Camry VII (XV50) Рестайлинг,седан,чёрный,2.5,181,Бензин,122000,2015,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,9050,Растаможен,1585000₽
69,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1295900₽
70,Mercedes-Benz,"Mercedes-Benz E-Класс 450 V (W213, S213, C238)",купе,зелёный,3.0,367,Бензин,51473,2018,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,55050,Растаможен,4097000₽
71,BMW,BMW 3 серии 320i xDrive VI (F3x) Рестайлинг,седан,голубой,2.0,184,Бензин,79700,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9200,Растаможен,2269000₽
72,Mercedes-Benz,Mercedes-Benz GLK-Класс 220 CDI I (X204),внедорожник 5 дв.,чёрный,2.1,170,Дизель,155000,2009,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,7650,Растаможен,1075000₽
73,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1496684₽
74,Skoda,Skoda Octavia III (A7) Рестайлинг,лифтбек,чёрный,1.8,180,Бензин,73000,2017,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,9000,Растаможен,1385000₽
75,BMW,BMW 3 серии 318i V (E90/E91/E92/E93) Рестайлинг,седан,серый,2.0,136,Бензин,90500,2011,автоматическая,3 или более,Дубликат,задний,Левый,Не требует ремонта,4760,Растаможен,1001000₽
76,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1681104₽
77,BMW,BMW 3 серии 318i V (E90/E91/E92/E93) Рестайлинг,седан,серый,2.0,136,Бензин,90500,2011,автоматическая,3 или более,Дубликат,задний,Левый,Не требует ремонта,4760,Растаможен,1001000₽
78,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Оранжевый,1.4,100,бензин,,,Автоматическая,,,Передний,,,1200,,от 783000₽
79,Mercedes-Benz,"Mercedes-Benz S-Класс 350 d Long VI (W222, C217) Рестайлинг",седан,чёрный,2.9,249,Дизель,83000,2017,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,4219000₽
80,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1369900₽
81,Porsche,Porsche Macan I Рестайлинг,внедорожник 5 дв.,чёрный,2.0,252,Бензин,131км,2021,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,41580,2 месяца,
82,Lexus,Lexus RX 300 IV Рестайлинг,внедорожник 5 дв.,чёрный,2.0,238,Бензин,5368,2021,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,19635,Растаможен,4770000₽
83,BMW,BMW 6 серии Gran Turismo 630d xDrive IV (G32),лифтбек,чёрный,3.0,249,Дизель,27902,2019,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,4526000₽
84,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Оранжевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1419000₽
85,Ford,Ford Explorer V,внедорожник 5 дв.,белый,3.5,294,Бензин,148000,2012,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,44100,Растаможен,1245000₽
86,Volkswagen,Volkswagen Jetta VI,седан,белый,1.6,105,Бензин,89000,2013,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2625,Растаможен,745000₽
87,Mercedes-Benz,"Mercedes-Benz CLA 200 II (C118, X118)",седан,серый,1.3,150,Бензин,21798,2019,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,2874000₽
88,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1611584₽
89,Volkswagen,Volkswagen Tiguan I Рестайлинг,внедорожник 5 дв.,чёрный,2.0,170,Бензин,143965,2011,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,7650,Растаможен,877000₽
90,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1369900₽
91,Mercedes-Benz,Mercedes-Benz M-Класс 350 II (W164),внедорожник 5 дв.,чёрный,3.5,272,Бензин,155000,2005,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,40800,Растаможен,890000₽
92,BMW,BMW 3 серии 316i VI (F3x),седан,белый,1.6,136,Бензин,109000,2014,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,4760,Растаможен,1145000₽
93,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Оранжевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 919000₽
94,Ford,Ford Mondeo IV Рестайлинг,седан,чёрный,2.3,161,Бензин,96000,2014,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,7245,Растаможен,829000₽
95,MINI,MINI Hatch Cooper III (F55/F56),хэтчбек 3 дв.,бежевый,1.5,136,Бензин,17500,2017,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,4760,Растаможен,1720000₽
96,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1295900₽
97,Hyundai,Hyundai Grand Starex I,минивэн,чёрный,2.5,145,Дизель,167000,2011,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,5075,Растаможен,1195000₽
98,Mercedes-Benz,Mercedes-Benz M-Класс 350 CDI III (W166),внедорожник 5 дв.,коричневый,3.0,258,Дизель,142369,2013,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,38700,Растаможен,2130000₽
99,Skoda,Skoda Rapid I Рестайлинг,лифтбек,белый,1.6,110,Бензин,73000,2018,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,844000₽
100,Nissan,Nissan Teana III,седан,синий,2.5,173,Бензин,97183,2015,вариатор,1 владелец,Оригинал,передний,Левый,Не требует ремонта,7785,Растаможен,1145000₽
101,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1501600₽
102,Mitsubishi,Mitsubishi Lancer X,седан,зелёный,2.0,150,Бензин,115280,2007,передний,Оригинал,14 лет и 5 месяцев,Левый,Не требует ремонта,1 владелец,механическая,Растаможен,559999₽
103,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 920900₽
104,Toyota,Toyota RAV4 V (XA50),внедорожник 5 дв.,коричневый,2.0,149,Бензин,22545,2020,вариатор,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5215,Растаможен,2535000₽
105,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 889900₽
106,Mercedes-Benz,Mercedes-Benz Viano Extralong L3 I (W639) Рестайлинг,минивэн,чёрный,3.5,258,Бензин,180000,2010,автоматическая,3 или более,Оригинал,задний,Левый,Не требует ремонта,38700,Растаможен,1445000₽
107,Chevrolet,Chevrolet Lanos I,седан,чёрный,1.5,86,Бензин,92000,2008,механическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,1032,Растаможен,155000₽
108,Audi,Audi Q7 I (4L) Рестайлинг,внедорожник 5 дв.,чёрный,3.0,245,Дизель,147320,2012,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18375,Растаможен,1795000₽
109,Nissan,Nissan X-Trail II Рестайлинг,внедорожник 5 дв.,чёрный,2.0,141,Бензин,39653,2013,вариатор,1 владелец,Оригинал,полный,Левый,Не требует ремонта,4935,Растаможен,1330000₽
110,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Оранжевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1375900₽
111,BMW,BMW 5 серии 520d VII (G30/G31) Рестайлинг,седан,синий,2.0,190,Дизель,16815,2021,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,9500,Растаможен,4099000₽
112,Toyota,Toyota Camry VIII (XV70) Рестайлинг,седан,белый,2.5,200,Бензин,4897,2021,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,10000,Растаможен,2825000₽
113,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,1189900₽
114,BMW,BMW X3 20d xDrive II (F25),внедорожник 5 дв.,белый,2.0,184,Дизель,151000,2011,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9200,Растаможен,1345000₽
115,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 880900₽
116,Mazda,Mazda CX-5 I,внедорожник 5 дв.,белый,2.0,150,Бензин,105000,2014,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,1445000₽
117,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Оранжевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1465900₽
118,Mazda,Mazda 3 III (BM),седан,коричневый,2.0,150,Бензин,103000,2014,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,1095000₽
119,Mercedes-Benz,"Mercedes-Benz E-Класс 200 V (W213, S213, C238) Рестайлинг",седан,серый,2.0,197,Бензин,4960,2021,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9850,Растаможен,4240000₽
120,Jaguar,Jaguar F-Pace I,внедорожник 5 дв.,белый,2.0,249,Бензин,56638,2019,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,3600000₽
121,BMW,BMW M4 F82/F83,купе,жёлтый,3.0,431,Бензин,31480,2017,роботизированная,3 или более,Оригинал,задний,Левый,Не требует ремонта,64650,Растаможен,4084000₽
122,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1445000₽
123,Hyundai,Hyundai H-1 II Рестайлинг 2,минивэн,белый,2.5,170,Дизель,5561,2021,автоматическая,1 владелец,Оригинал,задний,Левый,Не требует ремонта,7650,Растаможен,3190000₽
124,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1660789₽
125,Nissan,Nissan X-Trail II Рестайлинг,внедорожник 5 дв.,чёрный,2.0,141,Бензин,98925,2011,вариатор,3 или более,Оригинал,полный,Левый,Не требует ремонта,4935,Растаможен,1205000₽
126,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1489784₽
127,Toyota,Toyota Land Cruiser 200 Series Рестайлинг 2,внедорожник 5 дв.,чёрный,4.5,249,Дизель,228000,2015,полный,Оригинал,Растаможен,Левый,Не требует ремонта,1 владелец,автоматическая,JTM**************,
128,Lexus,Lexus ES 200 VI Рестайлинг,седан,чёрный,2.0,150,Бензин,66000,2016,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,2295000₽
129,Toyota,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,внедорожник 5 дв.,чёрный,2.8,177,Дизель,101000,2016,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,8850,Растаможен,3345000₽
130,Audi,Audi A4 IV (B8) Рестайлинг,седан,чёрный,1.8,170,Бензин,125928,2013,вариатор,3 или более,Оригинал,передний,Левый,Не требует ремонта,7650,Растаможен,1064000₽
131,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.4,100,бензин,,,Автоматическая,,,Передний,,,1200,,от 844000₽
132,BMW,BMW 5 серии 535i xDrive VI (F10/F11/F07) Рестайлинг,седан,белый,3.0,306,Бензин,202996,2013,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,45900,Растаможен,1803000₽
133,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1235900₽
134,Ford,Ford Kuga II,внедорожник 5 дв.,белый,2.5,150,Бензин,121000,2014,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,999000₽
135,BMW,BMW 8 серии Gran Coupe 840d xDrive II (G14/G15/G16),седан,пурпурный,3.0,320,Дизель,6500,2020,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,48000,Растаможен,7275000₽
136,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 889900₽
137,Mercedes-Benz,Mercedes-Benz C-Класс 300 III (W204) Рестайлинг,седан,чёрный,3.5,252,Бензин,159755,2011,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,37800,Растаможен,1143000₽
138,Land,Land Rover Range Rover Velar I,внедорожник 5 дв.,белый,3.0,300,Дизель,55843,2017,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,45000,Растаможен,4697000₽
139,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 825900₽
140,LADA,LADA (ВАЗ) Granta I,седан,серый,1.6,98,Бензин,47500,2014,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,1176,6 лет и 4 месяца,440000₽
141,Toyota,Toyota Verso I,компактвэн,серый,1.8,147,Бензин,102000,2012,вариатор,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5145,9 лет и 8 месяцев,1040000₽
142,Nissan,Nissan Pathfinder III Рестайлинг,внедорожник 5 дв.,синий,2.5,190,Дизель,142000,2011,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9500,Растаможен,1095000₽
143,BMW,BMW 5 серии 530d xDrive VII (G30/G31),седан,серый,3.0,249,Дизель,62962,2018,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,3957000₽
